timestamp,transducer_voltage,transducer_pressure_psi,transducer_pressure_torr,alicat_pressure_raw,alicat_units,alicat_setpoint,alicat_gauge,alicat_baro,offset_torr
501226.7637245,-0.006632255390286446,-0.019896766170859337,-1.0289612625259907,13.44,PSI,13.44,0.004999999999999005,13.435,-696.078561262526
501226.7892718,-0.007947846315801144,-0.02384353894740343,-1.2330686166649685,13.44,PSI,13.44,0.004999999999999005,13.435,-696.282668616665
501226.8096718,-0.0075578587129712105,-0.02267357613891363,-1.1725639900239184,13.44,PSI,13.44,0.004999999999999005,13.435,-696.222163990024
501226.8302492,-0.0062546092085540295,-0.01876382762566209,-0.9703713456611149,13.44,PSI,13.44,0.004999999999999005,13.435,-696.0199713456611
501226.8503903,-0.006458241958171129,-0.019374725874513388,-1.00196394860046,13.44,PSI,13.44,0.004999999999999005,13.435,-696.0515639486005
501226.8703905,-0.007852817885577679,-0.023558453656733036,-1.218325430857949,13.44,PSI,13.44,0.004999999999999005,13.435,-696.267925430858
501226.8910881,-0.008321790024638176,-0.024965370073914528,-1.29108411337249,13.44,PSI,13.44,0.004999999999999005,13.435,-696.3406841133725
501226.9112029,-0.00724438764154911,-0.02173316292464733,-1.1239305206481367,13.44,PSI,13.44,0.004999999999999005,13.435,-696.1735305206482
501226.9318743,-0.006311379838734865,-0.018934139516204596,-0.9791790250805207,13.44,PSI,13.44,0.004999999999999005,13.435,-696.0287790250806
501226.952316,-0.007349289488047361,-0.022047868464142084,-1.1402055176231078,13.44,PSI,13.44,0.004999999999999005,13.435,-696.1898055176232
501226.9725651,-0.008883322589099407,-0.02664996776729822,-1.3782030830858276,13.44,PSI,13.44,0.004999999999999005,13.435,-696.4278030830859
501226.9973593,-0.006658172234892845,-0.019974516704678535,-1.0329821313824505,13.44,PSI,13.44,0.004999999999999005,13.435,-696.0825821313825
501227.018048,-0.006443432532250881,-0.019330297596752644,-0.999666340216063,13.44,PSI,13.44,0.004999999999999005,13.435,-696.0492663402161
501227.038458,-0.008208248764276505,-0.024624746292829514,-1.2734687545336785,13.44,PSI,13.44,0.004999999999999005,13.435,-696.3230687545338
501227.0586828,-0.008803103119134903,-0.02640930935740471,-1.3657574334181846,13.44,PSI,13.44,0.004999999999999005,13.435,-696.4153574334182
501227.079092,-0.007418401073664427,-0.02225520322099328,-1.1509278345736675,13.44,PSI,13.44,0.004999999999999005,13.435,-696.2005278345737
501227.0994286,-0.006339764688163996,-0.019019294064491987,-0.9835827925452032,13.44,PSI,13.44,0.004999999999999005,13.435,-696.0331827925453
501227.1197067,-0.00708765210583806,-0.02126295631751418,-1.099613785960246,13.44,PSI,13.44,0.004999999999999005,13.435,-696.1492137859603
501227.1398107,-0.008668581955134869,-0.026005745865404606,-1.3448871474293993,13.44,PSI,13.44,0.004999999999999005,13.435,-696.3944871474295
501227.1600052,-0.008829019963741302,-0.026487059891223907,-1.3697783022746444,13.44,PSI,13.44,0.004999999999999005,13.435,-696.4193783022747
501227.1800191,-0.007377674337476492,-0.022133023012429476,-1.1446092850877905,13.44,PSI,13.44,0.004999999999999005,13.435,-696.1942092850878
501227.2060978,-0.008542700670659542,-0.025628102011978626,-1.3253572955494748,13.44,PSI,13.44,0.004999999999999005,13.435,-696.3749572955495
501227.2264881,-0.008457545191049576,-0.025372635573148727,-1.3121458486653865,13.44,PSI,13.44,0.004999999999999005,13.435,-696.3617458486655
501227.2466257,-0.007568965665996075,-0.022706896997988224,-1.1742871782509612,13.44,PSI,13.44,0.004999999999999005,13.435,-696.2238871782511
501227.2672164,-0.007771364413201809,-0.023314093239605427,-1.2056883318861946,13.44,PSI,13.44,0.004999999999999005,13.435,-696.2552883318863
501227.2875338,-0.008791996166110039,-0.026375988498330116,-1.364034245191142,13.44,PSI,13.44,0.004999999999999005,13.435,-696.4136342451912
501227.3079085,-0.008952434174716473,-0.026857302524149418,-1.3889254000363873,13.44,PSI,13.44,0.004999999999999005,13.435,-696.4385254000365
501227.3282694,-0.007931802421808243,-0.02379540726542473,-1.23057948673144,13.44,PSI,13.44,0.004999999999999005,13.435,-696.2801794867315
501227.3485229,-0.007561561185866594,-0.022684683557599783,-1.173138410181273,13.44,PSI,13.44,0.004999999999999005,13.435,-696.2227384101814
501227.3689153,-0.008558744564652443,-0.02567623369395733,-1.3278464254830034,13.44,PSI,13.44,0.004999999999999005,13.435,-696.3774464254831
501227.3894188,-0.009589249268174171,-0.028767747804522514,-1.487724077710882,13.44,PSI,13.44,0.004999999999999005,13.435,-696.537324077711
501227.4152314,-0.006992623675614595,-0.020977871026843786,-1.0848706001532264,13.44,PSI,13.44,0.004999999999999005,13.435,-696.1344706001532
501227.435588,-0.007982402108609676,-0.02394720632582903,-1.2384297751402482,13.44,PSI,13.44,0.004999999999999005,13.435,-696.2880297751403
501227.4561406,-0.00963861495256424,-0.02891584485769272,-1.495382916815579,13.44,PSI,13.44,0.004999999999999005,13.435,-696.5449829168157
501227.4762921,-0.00959912221878767,-0.02879736665636301,-1.4892558166338132,13.44,PSI,13.44,0.004999999999999005,13.435,-696.5388558166338
501227.4967,-0.007828135043382645,-0.023484405130147934,-1.2144960113056005,13.44,PSI,13.44,0.004999999999999005,13.435,-696.2640960113057
501227.516855,-0.0071888514794409275,-0.021566554438322783,-1.1153143627778628,13.44,PSI,13.44,0.004999999999999005,13.435,-696.164914362778
501227.5369446,-0.008778420276939869,-0.026335260830819607,-1.361928013865836,13.44,PSI,13.44,0.004999999999999005,13.435,-696.4115280138659
501227.5569675,-0.009944681078195572,-0.029834043234586716,-1.542867545876652,13.44,PSI,13.44,0.004999999999999005,13.435,-696.5924675458767
501227.5774596,-0.014523331075906754,-0.04356999322772026,-2.2532221997715536,13.44,PSI,13.44,0.004999999999999005,13.435,-697.3028221997716
501227.5980024,-0.02075078897178173,-0.06225236691534519,-3.219381155027077,13.44,PSI,13.44,0.004999999999999005,13.435,-698.2689811550272
501227.6232677,-0.021715885028243065,-0.0651476550847292,-3.3691109827067707,13.44,PSI,13.44,0.004999999999999005,13.435,-698.4187109827068
501227.6437721,-0.020110271871089935,-0.060330815613269806,-3.120008129440248,13.44,PSI,13.44,0.004999999999999005,13.435,-698.1696081294403
501227.6641646,-0.01633874699473381,-0.04901624098420143,-2.534874902497977,13.44,PSI,13.44,0.004999999999999005,13.435,-697.5844749024981
501227.6845327,-0.014138280414044857,-0.04241484124213457,-2.1934835148369896,13.44,PSI,13.44,0.004999999999999005,13.435,-697.243083514837
